date,company,sector,role,role_type,channel,status,contact_person,fit_rating,notes,cv_file,cover_letter_file,source
2026-08-03,WSP Danmark,Geotechnical/Infrastructure Consulting,Geoteknisk ingeniør til komplekse infrastrukturprojekter,Full-time,Company career site (teamtailor),found,,medium,"Confirmed live via direct fetch. Requires min. 2 yrs experience (candidate has 3) - good fit. Degree listed as 'ingeniør eller lignende med specialisering inden for geoteknik' (engineer or similar w/ geotechnical specialization) - verify a Geology MSc is accepted, title leans civil-engineering. Taastrup, ~25 min from central Copenhagen by train.",,,job-scraper
2026-08-03,NIRAS,Geotechnical Consulting,Geotekniker til NIRAS,Full-time,Company career site (found via karrierevejviser.dk aggregator),found,Jacob Alemanno Bjørnager Elholm (Head of Geotechnics),medium,"Rolling/no deadline, explicitly open to both junior and experienced candidates - good level fit. CAUTION: direct fetch of niras.dk job page returned 404 twice; liveness only confirmed via third-party aggregator listing NIRAS's 14 current postings - verify directly on niras.dk before applying. Allerød, Greater Copenhagen.",,,job-scraper
2026-08-04,Intertek-PSI,Geotechnical/Construction Materials Testing Consulting,Entry-Level Geotechnical Project Coordinator / Geologist,Full-time,LinkedIn,found,,medium,"Confirmed live via direct fetch of LinkedIn posting, posted 5 days ago. Austin, TX. Degree explicitly accepts Geology/Geoscience/Geological Engineering/Civil Engineering - good fit for MSc Geology. Entry-level title/level is a step down from candidate's 3 yrs experience - salary and seniority may not match. US role: candidate is an EU citizen (Italian passport) with NO US work authorization. Intertek is a large UK-headquartered multinational (~46,000 employees) so sponsorship is plausible in principle, but entry-level US roles rarely sponsor visas in practice - verify sponsorship stance before applying.",,,job-scraper
2026-08-04,WWF Verdensnaturfonden,Environmental/Conservation NGO - Geospatial,Specialist in Geospatial Data (GIS) and Forest Carbon,Full-time,Company career site (recruitio.dk),found,,high,"Confirmed live via direct fetch. Copenhagen-based, English-language, 3-5 yrs required matches candidate's 3 yrs, no ArcGIS requirement (general GIS/remote sensing software). Domain is forest-carbon monitoring - a stretch from offshore geology but aligns with CCS/energy-transition interest. DEADLINE Aug 5, 2026 - apply immediately if interested.",,,job-scraper
2026-08-04,Equitable Earth,Climate/Carbon Markets - Geospatial,Geodata Analyst,Full-time,Company career site (eq-earth.com),found,,high,"Confirmed live via direct fetch. Fully remote (Europe, French time-zone overlap), English-language, 2-5 yrs matches candidate, QGIS/ArcGIS both mentioned but neither mandatory, Python/GIS workflows for nature-based carbon projects - strong domain fit with candidate's CCS/energy-transition interest. Open until filled.",,,job-scraper
2026-08-04,DMR A/S,Environmental/Geotechnical Consulting (Soil & Groundwater),Erfaren projektleder til jord- og grundvandsafdelingen på Sjælland,Full-time,Company career site (dmr.dk),found,,medium,"Confirmed live via direct fetch of dmr.dk job page; rolling deadline, applications assessed continuously. Requires min. 3 yrs relevant experience in soil/groundwater contamination consulting - exact match to candidate's experience level. No strict degree requirement stated - environmental/geological science background implied, not restricted to engineering. Role is project management in contaminated soil/groundwater rather than core offshore geotechnical site investigation - a lateral pivot from candidate's background, but consistent with her stated direction toward more strategic/consulting scope. Sjælland-based (offices in Herlev/Slagelse/Frederikssund) - good location fit. Apply via email to tsj@dmr.dk.",,,job-scraper
2026-08-05,TRC Companies (member of WSP),Geotechnical/Environmental Consulting,Geologist I,Full-time,Company career site (careers.trccompanies.com),found,,high,"Confirmed live via direct fetch of careers.trccompanies.com/jobs/25819, rolling/ongoing basis, no deadline. Austin, TX. Requires 'up to two years' experience in environmental consulting - candidate has 3 yrs, so this is an entry/junior-tier role and candidate is likely overqualified in seniority, though the domain (site assessments, soil/groundwater sampling, hydrogeologic interpretation, technical reporting) matches well. Degree explicitly accepts Bachelor's or higher in Geosciences - good fit for MSc Geology. Salary posted as $55,016-$72,009.60/yr, likely below candidate's target given 3 yrs experience and MSc. US role: candidate is an EU citizen (Italian passport) with NO US work authorization. TRC is a member of WSP (large multinational, ~73,000 employees globally) so sponsorship is plausible in principle, but entry-level US 'Geologist I' roles rarely sponsor visas in practice - verify sponsorship stance before applying.",,,job-scraper
2026-08-05,OMV/Petrom,Oil & Gas Exploration & Production (Well Abandonment/Decommissioning Geology),Pro Abandonment Geology Annex P&NonP,Full-time,Company career site (careers.omv.com),found,,high,"Confirmed live via direct fetch of careers.omv.com posting, posted 24 Jul 2026, apply now active. Bucharest, Romania - EU member state, satisfies candidate's EU-or-USA location constraint and is primary-priority (EU). Requires 3-5 yrs experience - candidate has 3 yrs, at the lower/entry end of the stated range but plausible fit. Genuine upstream oil & gas well-abandonment/decommissioning geology role (confirmed not mining, not CCS). Title includes an internal req-code fragment 'Annex P&NonP' - benign per the fetched page but worth a quick manual glance before applying to confirm exact scope.",,,job-scraper
2026-08-05,Chord Energy,Oil & Gas Exploration & Production (Upstream),Geologist,Full-time,Indeed,found,,high,"Confirmed live via direct fetch of Indeed posting (jk=3ec3d6472867ae91). Houston, TX (downtown, hybrid). Requires 3+ years upstream oil & gas experience - matches candidate's 3 yrs exactly. Genuine upstream O&G role: geosteering, well logs/seismic interpretation, hydrocarbon reserve characterization. Mid/large independent (~$6-7B, formed from Whiting/Oasis/Enerplus merger) - strongest US content-fit found this run, but is a US-domestic-focused independent, not a true multinational, so visa sponsorship is possible but not likely. Candidate is an EU citizen (Italian passport) with NO US work authorization - verify sponsorship stance before applying. A near-duplicate legacy 'Enerplus Corporation' listing (jk=d9550aa7e64fee59) also appeared live but is likely a stale unretired req from the 2023 merger - treat Chord's own listing as current.",,,job-scraper
2026-08-05,Andreasen & Hvidberg A/S,Geotechnical Consulting,Geoteknisk Projektleder,Full-time,Company career site (aogh.dk),found,Gustav Wenneberg (Blue Search & Selection recruiter),high,"Confirmed live via direct fetch of aogh.dk. Requires min. 3 yrs project management experience - exact match to candidate's experience level. Degree explicitly accepts geologist background (firm employs a mix of 'ingeniør, geolog, naturgeograf, geotekniker') - no strict engineering-only requirement, strong fit for MSc Geology. Ganløse/Stenløse (Egedal), Sjælland - roughly 30-40 min from central Copenhagen, acceptable location. Rolling interviews, no fixed deadline. Role is project management/QA scope, consistent with candidate's stated pivot toward more strategic/consulting responsibility. Apply via recruiter Gustav Wenneberg, gw@bluesearch.dk.",,,job-scraper
2026-08-05,Sweco,Geospatial/Engineering Consulting - GIS,GIS-konsulent,Full-time,LinkedIn,found,,high,"Confirmed live via direct fetch, deadline September 1 2026. Copenhagen (Ørestad) - candidate's home city. Requires min. 3 yrs GIS experience, exact match. Explicitly accepts 'ArcGIS, QGIS or similar' - candidate's QGIS strength qualifies, no ArcGIS-certification barrier. Requires fluent Danish (written and spoken) plus good English - candidate is B1/B2 Danish, this is the main gap to address/verify before applying.",,,job-scraper
2026-08-05,Aon (Impact Forecasting),Climate Risk/Catastrophe Modeling - Geospatial,Junior GIS Analyst,Full-time,LinkedIn,found,,high,"Confirmed live via direct fetch, posted 1 day ago. Prague, Czech Republic - EU member state, no visa needed for candidate as an EU/Italian citizen (valid Czechia work permit required but automatic for EU citizens). Junior level, explicitly accepts QGIS or other GIS tools - not ArcGIS-locked. English required, Czech only 'an advantage' - no hard language barrier. Catastrophe/climate-risk modeling domain aligns well with candidate's stated interest in energy transition/CCS. Would require relocation to Prague.",,,job-scraper
